artist_name,genre,num_songs,avg_popularity
7eventh Time Down,Alternative,3,46.333333333333336
7eventh Time Down,Children's Music,3,50.666666666666664
7eventh Time Down,Rock,2,52.5
8 Kalacas,Ska,18,22.444444444444443
808 State,Electronic,3,41.666666666666664
86 the Effort,Reggae,1,19.0
88-Keys,Alternative,3,50.0
880 South,Reggae,2,25.5
888,Children's Music,2,50.0
888,Indie,2,50.5
888,Rock,1,56.0
88GLAM,Hip-Hop,26,58.15384615384615
88GLAM,Pop,8,65.375
88GLAM,Rap,17,61.23529411764706
88GLAM,Soul,32,56.21875
916frosty,Rap,2,54.5
93FEETOFSMOKE,Hip-Hop,1,54.0
93FEETOFSMOKE,Rap,1,54.0
98º,Dance,5,49.0
98º,Pop,1,58.0
9th Wonder,Alternative,1,47.0
9th Wonder,Children's Music,1,53.0
9th Wonder,Hip-Hop,1,54.0
9th Wonder,Soul,2,49.0
? & The Mysterians,Rock,1,53.0
A Beacon School,Indie,1,51.0
A Blaze of Feather,Folk,2,56.5
A Blaze of Feather,Indie,2,56.5
A Boogie Wit da Hoodie,Rap,60,65.21666666666667
A Day To Remember,Pop,11,62.72727272727273
A Fine Frenzy,Folk,4,42.75
A Flock Of Seagulls,Dance,4,54.75
A Flock Of Seagulls,Rock,2,56.5
A Forest Mighty Black,Jazz,1,39.0
A Great Big World,Pop,2,72.0
A Great Big World,Rock,4,62.75
A Perfect Circle,Alternative,33,48.90909090909091
A Perfect Circle,Children's Music,33,53.18181818181818
A Perfect Circle,Rap,8,60.25
A Perfect Circle,Rock,21,56.42857142857143
A R I Z O N A,Indie,19,59.21052631578947
A R I Z O N A,Pop,7,63.714285714285715
A R I Z O N A,Rock,11,62.27272727272727
A Rocket To The Moon,Alternative,2,52.0
A Rocket To The Moon,Children's Music,1,57.0
A Thousand Horses,Country,6,44.333333333333336
A Touch Of Class,Dance,1,56.0
A Tribe Called Quest,Alternative,21,53.04761904761905
A Tribe Called Quest,Children's Music,16,58.5
A Tribe Called Quest,Hip-Hop,30,55.166666666666664
A Tribe Called Quest,Jazz,68,49.39705882352941
A Tribe Called Quest,Pop,1,71.0
A Tribe Called Quest,Rap,16,58.75
A Winged Victory for the Sullen,World,10,31.2
A l l i e,R&B,1,37.0
A l l i e,Soul,1,37.0
A$AP ANT,Hip-Hop,1,48.0
A$AP Ferg,Hip-Hop,28,56.67857142857143
A$AP Ferg,Pop,6,69.5
A$AP Ferg,Rap,17,60.8235294117647
A$AP Mob,Hip-Hop,28,57.285714285714285
A$AP Mob,Pop,9,62.666666666666664
A$AP Mob,Rap,26,57.80769230769231
A$AP Rocky,Hip-Hop,54,62.833333333333336
A$AP Rocky,Pop,29,68.17241379310344
A$AP Rocky,Rap,49,63.795918367346935
A$AP Twelvyy,Hip-Hop,5,55.6
A$AP Twelvyy,Rap,5,55.6
A*Teens,Dance,2,41.5
A-Trak,Electronic,22,37.31818181818182
A.A. Bondy,Country,1,44.0
A.A. Bondy,Folk,2,46.5
A.A. Bondy,Indie,1,49.0
A.C. Reed,Blues,1,27.0
A.CHAL,Hip-Hop,9,55.333333333333336
A.CHAL,Soul,22,47.36363636363637
A.Cinco,Reggae,8,25.0
A.R. Rahman,Hip-Hop,3,58.333333333333336
AAA,Anime,24,38.708333333333336
ABBA,Pop,7,63.857142857142854
ABC,Dance,2,55.0
ABC,Rock,2,55.0
ABRA,Alternative,3,49.0
ABRA,Children's Music,2,55.0
ABRA,Indie,1,56.0
ABRA,R&B,6,49.5
AC Slater,Electronic,18,36.5
AC/DC,Rock,38,63.86842105263158
AFI,Alternative,11,48.54545454545455
AFI,Pop,1,71.0
AFK,Electronic,10,32.4
AFX,Electronic,1,32.0
AGNEZ MO,Pop,1,61.0
AHI,Folk,1,56.0
AI,Anime,4,34.25
AIGEL,Electronic,2,36.0
AIMP Nashville,Country,1,47.0
AJ Mitchell,Indie,4,63.75
AJ Mitchell,Pop,3,67.0
AJ Rafael,Indie,2,55.5
AJ Tracey,Hip-Hop,1,68.0
AJ x Deno,Hip-Hop,1,71.0
AJJ,Folk,27,41.333333333333336
AJR,Pop,14,62.5
AJR,Rock,25,58.04
AK,Hip-Hop,7,51.42857142857143
AK,Soul,9,44.77777777777778
AK420,Jazz,2,43.5
AKB48,Anime,7,30.0
ALLBLACK,Rap,1,52.0
ALMA,Dance,6,59.666666666666664
AM444,Electronic,1,24.0
ANIMA!,Indie,2,47.5
ANIMA!,Soul,7,41.142857142857146
APRE,Indie,1,51.0
ARMNHMR,Electronic,15,40.86666666666667
ARTY,Pop,1,72.0
ASCA,Anime,13,29.384615384615383
ASIAN KUNG-FU GENERATION,Anime,152,22.407894736842106
ASIAN KUNG-FU GENERATION,Rock,1,61.0
ASTN,Soul,14,44.857142857142854
ASTR,Indie,1,52.0
ASTR,Soul,4,43.75
ASTRO,Pop,1,68.0
ATC,Dance,1,45.0
ATEEZ,Pop,4,66.75
ATLiens,Electronic,12,31.166666666666668
AUGUST 08,R&B,4,47.0
AURORA,Pop,1,55.0
AViVA,Children's Music,6,54.0
AViVA,Pop,1,66.0
AWOLNATION,Alternative,9,47.22222222222222
AWOLNATION,Children's Music,10,52.6
AWOLNATION,Indie,12,54.666666666666664
AWOLNATION,Pop,1,74.0
AWOLNATION,Rap,1,56.0
AWOLNATION,Rock,6,54.666666666666664
AZ,Alternative,2,48.5
AZ,Children's Music,2,56.0
AZ,Hip-Hop,2,56.0
AZ,Rap,2,56.0
Aaliyah,Dance,5,55.8
Aaliyah,Hip-Hop,4,58.75
Aaliyah,Pop,3,60.666666666666664
Aaliyah,R&B,6,54.0
Aaliyah,Soul,9,49.333333333333336
Aaron Carter,Dance,3,49.0
Aaron Cole,Hip-Hop,2,50.5
Aaron Copland,Classical,47,18.659574468085108
Aaron Goldberg,Jazz,1,63.0
Aaron Goodvin,Country,1,37.0
Aaron Hall,R&B,1,51.0
Aaron Hall,Soul,3,42.0
Aaron Jay Kernis,Classical,3,16.333333333333332
Aaron Kamm and the One Drops,Reggae,26,25.0
Aaron Karo,Comedy,3,15.333333333333334
Aaron Keyes,Children's Music,1,49.0
Aaron Keyes,World,14,33.214285714285715
